,conv_id,speaker,persona,utterance,goal,belief,act,persuasion_intent,persuasion_act
0,2019,customer,agreeableness,"I'm looking for a hotel to stay at in the centre, can you look this up for me?",<|empty|>,"area centre , type hotel",,background,
1,2019,salesperson,agreeableness,There are three hotels in the center of town. Do you prefer something moderate or expensive?,<|empty|>,,"hotel select price moderate,hotel select price  expensive,hotel inform area center of town,hotel inform choice three",,background
2,2019,customer,agreeableness,"Not in terms of that, but do they have free parking and have a 3 star rating?",<|empty|>,"area centre , type hotel",,background,
3,2019,salesperson,agreeableness,"I recommend the Alexander Bed & Breakfast. They offer a range of wonderful rooms. It is located in the centre part of the city at 56 Saint Barnabas Road, and features 4 stars. Rooms are available for single occupancy at 50, double occupancy at 40, and a family room at 40. If you wish to contact them, you can do so on 01223525725. I am sure this is what you want, so I hope it answers all your questions! ","[{'address': '56 saint barnabas road', 'area': 'centre', 'internet': 'yes', 'parking': 'yes', 'id': '2', 'location': [52.1986444444444, 0.138133333333333], 'name': 'alexander bed and breakfast', 'phone': '01223525725', 'postcode': 'cb12de', 'price': {'double': '50', 'single': '40'}, 'pricerange': 'cheap', 'stars': '4', 'takesbookings': 'yes', 'type': 'guesthouse', 'features': ['Free breakfast', 'Excellent, 24/7 room service', 'Friendly staff', 'Free wifi', 'Great food', 'Spacious and luxorious rooms', 'Gym', 'Pool', 'Bar', 'BBQ grill', 'Fully safe, sanitary and secure'], 'recognitions': [""Appeared in famous magazine like, Today's Hotelier and BigHospitality"", 'Been endorsed by popular tour agencies such as Expedia', 'Received prestigious awards such as Cateys', 'Hosted celebrities such as, Virat Kholi and Jackie Chan', 'Been endorsed by famous critics like, Gordon Ramsay and Nigella Lawson'], 'offers': ['Food festival'], 'public_image': ['Popular with the locals', 'Popular with international tourists', 'Rated 8/10']}]",,,,suggestion
4,2019,customer,agreeableness,Who runs the hotel and who are their staff?,"[{'address': '56 saint barnabas road', 'area': 'centre', 'internet': 'yes', 'parking': 'yes', 'id': '2', 'location': [52.1986444444444, 0.138133333333333], 'name': 'alexander bed and breakfast', 'phone': '01223525725', 'postcode': 'cb12de', 'price': {'double': '50', 'single': '40'}, 'pricerange': 'cheap', 'stars': '4', 'takesbookings': 'yes', 'type': 'guesthouse', 'features': ['Free breakfast', 'Excellent, 24/7 room service', 'Friendly staff', 'Free wifi', 'Great food', 'Spacious and luxorious rooms', 'Gym', 'Pool', 'Bar', 'BBQ grill', 'Fully safe, sanitary and secure'], 'recognitions': [""Appeared in famous magazine like, Today's Hotelier and BigHospitality"", 'Been endorsed by popular tour agencies such as Expedia', 'Received prestigious awards such as Cateys', 'Hosted celebrities such as, Virat Kholi and Jackie Chan', 'Been endorsed by famous critics like, Gordon Ramsay and Nigella Lawson'], 'offers': ['Food festival'], 'public_image': ['Popular with the locals', 'Popular with international tourists', 'Rated 8/10']}]",,,enquire-staff,
5,2019,salesperson,agreeableness,"I'm sorry I do not know who runs the hotel and who the staff are. However, it is evident from the fact that the hotel has won the prestigious Catey's award that their staff is friendly, professional and will provide top class service.","[{'address': '56 saint barnabas road', 'area': 'centre', 'internet': 'yes', 'parking': 'yes', 'id': '2', 'location': [52.1986444444444, 0.138133333333333], 'name': 'alexander bed and breakfast', 'phone': '01223525725', 'postcode': 'cb12de', 'price': {'double': '50', 'single': '40'}, 'pricerange': 'cheap', 'stars': '4', 'takesbookings': 'yes', 'type': 'guesthouse', 'features': ['Free breakfast', 'Excellent, 24/7 room service', 'Friendly staff', 'Free wifi', 'Great food', 'Spacious and luxorious rooms', 'Gym', 'Pool', 'Bar', 'BBQ grill', 'Fully safe, sanitary and secure'], 'recognitions': [""Appeared in famous magazine like, Today's Hotelier and BigHospitality"", 'Been endorsed by popular tour agencies such as Expedia', 'Received prestigious awards such as Cateys', 'Hosted celebrities such as, Virat Kholi and Jackie Chan', 'Been endorsed by famous critics like, Gordon Ramsay and Nigella Lawson'], 'offers': ['Food festival'], 'public_image': ['Popular with the locals', 'Popular with international tourists', 'Rated 8/10']}]",,,,endorse-staff-authority
6,2019,customer,agreeableness,The staff seem good and the food looks good but the price looks too high.,"[{'address': '56 saint barnabas road', 'area': 'centre', 'internet': 'yes', 'parking': 'yes', 'id': '2', 'location': [52.1986444444444, 0.138133333333333], 'name': 'alexander bed and breakfast', 'phone': '01223525725', 'postcode': 'cb12de', 'price': {'double': '50', 'single': '40'}, 'pricerange': 'cheap', 'stars': '4', 'takesbookings': 'yes', 'type': 'guesthouse', 'features': ['Free breakfast', 'Excellent, 24/7 room service', 'Friendly staff', 'Free wifi', 'Great food', 'Spacious and luxorious rooms', 'Gym', 'Pool', 'Bar', 'BBQ grill', 'Fully safe, sanitary and secure'], 'recognitions': [""Appeared in famous magazine like, Today's Hotelier and BigHospitality"", 'Been endorsed by popular tour agencies such as Expedia', 'Received prestigious awards such as Cateys', 'Hosted celebrities such as, Virat Kholi and Jackie Chan', 'Been endorsed by famous critics like, Gordon Ramsay and Nigella Lawson'], 'offers': ['Food festival'], 'public_image': ['Popular with the locals', 'Popular with international tourists', 'Rated 8/10']}]",,,soft-reject-food,
7,2019,salesperson,agreeableness," I believe that different people have different needs and expectations. However, given that the hotel has received prestigious awards such as a Michelin star, been endorsed by the world's top hotels and has even hosted celebrities like Virat Kholi and Jackie Chan, I am sure the price will be fair. ","[{'address': '56 saint barnabas road', 'area': 'centre', 'internet': 'yes', 'parking': 'yes', 'id': '2', 'location': [52.1986444444444, 0.138133333333333], 'name': 'alexander bed and breakfast', 'phone': '01223525725', 'postcode': 'cb12de', 'price': {'double': '50', 'single': '40'}, 'pricerange': 'cheap', 'stars': '4', 'takesbookings': 'yes', 'type': 'guesthouse', 'features': ['Free breakfast', 'Excellent, 24/7 room service', 'Friendly staff', 'Free wifi', 'Great food', 'Spacious and luxorious rooms', 'Gym', 'Pool', 'Bar', 'BBQ grill', 'Fully safe, sanitary and secure'], 'recognitions': [""Appeared in famous magazine like, Today's Hotelier and BigHospitality"", 'Been endorsed by popular tour agencies such as Expedia', 'Received prestigious awards such as Cateys', 'Hosted celebrities such as, Virat Kholi and Jackie Chan', 'Been endorsed by famous critics like, Gordon Ramsay and Nigella Lawson'], 'offers': ['Food festival'], 'public_image': ['Popular with the locals', 'Popular with international tourists', 'Rated 8/10']}]",,,,endorse-food-authority
8,2019,customer,agreeableness,I need to make a booking for 4 people for a room for 2 nights starting from the coming wednesday.,"[{'address': '56 saint barnabas road', 'area': 'centre', 'internet': 'yes', 'parking': 'yes', 'id': '2', 'location': [52.1986444444444, 0.138133333333333], 'name': 'alexander bed and breakfast', 'phone': '01223525725', 'postcode': 'cb12de', 'price': {'double': '50', 'single': '40'}, 'pricerange': 'cheap', 'stars': '4', 'takesbookings': 'yes', 'type': 'guesthouse', 'features': ['Free breakfast', 'Excellent, 24/7 room service', 'Friendly staff', 'Free wifi', 'Great food', 'Spacious and luxorious rooms', 'Gym', 'Pool', 'Bar', 'BBQ grill', 'Fully safe, sanitary and secure'], 'recognitions': [""Appeared in famous magazine like, Today's Hotelier and BigHospitality"", 'Been endorsed by popular tour agencies such as Expedia', 'Received prestigious awards such as Cateys', 'Hosted celebrities such as, Virat Kholi and Jackie Chan', 'Been endorsed by famous critics like, Gordon Ramsay and Nigella Lawson'], 'offers': ['Food festival'], 'public_image': ['Popular with the locals', 'Popular with international tourists', 'Rated 8/10']}]",,,book,
9,2019,salesperson,agreeableness,I will be happy to help you. Your booking reference number is FAS31FS.,"[{'address': '56 saint barnabas road', 'area': 'centre', 'internet': 'yes', 'parking': 'yes', 'id': '2', 'location': [52.1986444444444, 0.138133333333333], 'name': 'alexander bed and breakfast', 'phone': '01223525725', 'postcode': 'cb12de', 'price': {'double': '50', 'single': '40'}, 'pricerange': 'cheap', 'stars': '4', 'takesbookings': 'yes', 'type': 'guesthouse', 'features': ['Free breakfast', 'Excellent, 24/7 room service', 'Friendly staff', 'Free wifi', 'Great food', 'Spacious and luxorious rooms', 'Gym', 'Pool', 'Bar', 'BBQ grill', 'Fully safe, sanitary and secure'], 'recognitions': [""Appeared in famous magazine like, Today's Hotelier and BigHospitality"", 'Been endorsed by popular tour agencies such as Expedia', 'Received prestigious awards such as Cateys', 'Hosted celebrities such as, Virat Kholi and Jackie Chan', 'Been endorsed by famous critics like, Gordon Ramsay and Nigella Lawson'], 'offers': ['Food festival'], 'public_image': ['Popular with the locals', 'Popular with international tourists', 'Rated 8/10']}]",,,,book
